fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.91071,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.84099,0.0093,0.01,0.9267,0.00015,3.08432,0.79378,6.89814,0.51596,1.58044,0.02373,0.83205,0.40013,0.0,0.10076,0.49834,0.00117,0.001,0.00712,0.59913,0.0,1.0,0.0,0.0,0.00173,10
0.91065,0.00524,0.01,0.93568,0.001,2.57718,0.79273,4.31445,0.50595,1.95353,0.02024,0.70759,0.40062,0.00279,0.1133,0.50776,0.00753,0.0,0.0,0.50009,0.0,0.99792,0.0,0.00105,0.0017,10
0.8894,0.00427,0.01,0.93655,0.0007,2.52624,0.76744,5.43536,0.35831,2.08627,0.01798,0.82961,0.30757,0.00196,0.09979,0.41477,0.00758,0.0,0.0,0.39639,0.00476,0.99901,0.0,0.0005,0.0003,10
0.90091,0.0063,0.01155,0.93623,0.00043,2.94596,0.79852,6.32079,0.32191,1.38889,0.02081,0.7284,0.35163,0.00387,0.11369,0.70395,0.00973,0.0,0.00304,0.53206,0.00587,0.93793,0.00396,0.00018,0.00174,10
0.89277,0.00752,0.01032,0.93701,0.00037,2.95174,0.71387,4.35039,0.37743,1.96903,0.03244,0.9,0.32426,0.00174,0.09755,0.64096,0.00407,0.0,0.00289,0.52153,0.00534,0.95987,0.0,0.00106,0.00032,8
0.0,0.00779,0.01081,0.98,0.00068,2.53811,0.78708,5.12035,0.34213,2.47799,0.01435,0.77601,0.37219,0.00303,0.10165,0.51906,0.0024,0.001,0.00313,0.37087,0.00198,0.94236,0.00276,0.00013,0.00022,10
0.82822,0.00699,0.01036,0.86857,0.001,3.96357,0.77715,4.76155,0.53556,1.36534,0.02841,0.75045,0.37308,0.00352,0.11663,0.72169,0.00626,0.001,0.00199,0.4525,0.0,1.0,0.00337,0.00077,0.00244,8
0.88251,0.0062,0.01,0.87318,0.0,3.57864,0.78413,3.4574,0.46256,1.81232,0.01646,0.78594,0.33266,0.0,0.11439,0.31627,0.00318,0.0005,0.00165,0.32328,0.0,1.0,0.00387,0.00091,0.00114,9
0.88714,0.00671,0.01,0.83539,0.00044,3.63362,0.79447,4.04396,0.44579,1.94033,0.02182,0.56574,0.41757,0.00437,0.08627,0.60029,0.00748,0.00029,0.00299,0.53085,0.00466,0.93133,0.0021,0.00038,0.00252,8
0.81896,0.008,0.01,0.93974,0.00072,3.33214,0.7243,3.78638,0.55058,1.76278,0.02263,0.81585,0.3107,0.00457,0.08309,0.18116,0.01149,0.00096,0.00086,0.41189,0.0,0.77551,0.0,0.00029,0.0,9
0.89315,0.00649,0.01034,0.92547,0.001,2.60784,0.70357,2.02077,0.50112,1.29469,0.02573,0.9,0.4066,0.001,0.11278,0.60465,0.00061,0.00016,0.00289,0.40282,0.00769,0.96932,0.00057,0.0012,0.00152,9
0.88206,0.0072,0.01128,0.79542,0.00075,1.93659,0.80128,1.34688,0.32959,2.04565,0.0235,0.9,0.30881,0.00567,0.1595,0.43612,0.00156,0.0,0.00139,0.4886,0.00522,0.9455,0.00271,0.00071,0.0013,7
0.88012,0.00656,0.01,0.8975,0.00051,2.62805,0.73327,7.08603,0.36834,1.65966,0.0251,0.89157,0.34622,0.0,0.10785,0.69068,0.00999,0.00016,0.0,0.62638,0.00521,0.98305,0.0006,0.00117,9e-05,9
0.0,0.01,0.01,0.93302,0.00074,2.966,0.79869,6.28794,0.43474,1.20238,0.02686,0.85002,0.41136,0.00264,0.08115,0.51003,0.00577,0.0001,8e-05,0.49253,0.00619,0.78266,0.00013,2e-05,0.00091,9
